Area Code,Area Name,Local Code
3647,ZuunKharaa,3647
482,Altai hot,48
11,Ulaanbaatar,11
258,Dornod railway,258
221,Baganuur Railway,221
222,Bagahangai railway,222
227,Tuv railway,227
235,Erdenet Railway,235
236,Selenge railway,236
237,Darhan railway,237
252,Dornogovi railway,252
254,Choir Railway,254
3256,Uyanga,3256
3259,Khujirt,3259
3442,BayanNuur,3442
3446,Dashinchilen,3446
3541,UlaanTolgoi,3541
3641,AltanBulag,3641
3743,Shariin Gol,3743
38253,TosonTsengel,38253
38251,Tarialan,38251
38252,Ikh Uul,38252
4342,Hovd Bylgan,4342
4352,Hovd Myangat,4352
5255,Zyynbayan,5255
5442,Shivee Ovoo,5442
5651,Bor-Undur,5651
5849,Symber,5849
2198,Airport,98
23,Nalaih,23
27,Tuv,27
272,Zuun mod,27
2744,Batsumber (Mandal),27
32,Uvurhangai,32
33,Arhangai,33
332,Tsetserleg,33
34,Bulgan,34
342,Bulgan hot,34
35,Erdenet,35
352,Erdenet hot,35
36,Selenge,36
362,Sukhbaatar hot,36
3649,Orhontuul,3649
3651,Hutul,3651
37,Darkhan,37
372,Darhan hot,37
3742,Honhor Salhit,3742
38,Huvsgul,38
382,Murun,38
42,Bayan-Ulgii,42
422,Ulgii,42
43,Hovd,43
432,Hovd hot,43
44,Bayanhongor,44
442,Bayanhongor hot,44
45,Uvs,45
452,Ulaangom,45
46,Zavhan,46
462,Uliastai hot,46
48,Govi-Altai,48
51,Sukhbaatar,51
512,Baruun urt,51
52,Dornogovi,52
522,Sainshand,52
5241,Airag,5241
5245,Zamiin Uud,5245
53,Umnugovi,53
532,Dalanzadgad hot,53
54,Govisumber,54
542,Choir hot,54
56,Hentii,56
562,Undurhaan hot,56
5649,Dadal,5649
58,Dornod,58
582,Choibalsan hot,58
59,Dundgovi,59
592,Mandalgovi hot,59
3258,KharKorin,3258
21,Baganuur,21
22,BagaHangai,22
2124,Railway,11
2125,Railway,11
27265,Tuv sum,27265
33265,Arhangai sum,33265
32265,Uvurhangai sum,32265
34265,Bulgan sum,34265
35265,Erdenet sum,35265
36265,Selenge sum,36265
37265,Darhan sum,37265
38265,Huvsgul sum,38265
42265,bayan-ulgii sum,42265
43265,Hovd sum,43265
44265,Bayanhongor sum,44265
45265,Uvs sum,45265
46265,zavhan sum,46265
48265,Govi-altai sum,48265
51265,Sukhbaatar sum,51265
52265,Dornogovi sum,52265
53265,Umnugovi sum,53265
56265,Hentii sum,56265
54265,Govisumber sum,54265
58265,Dornod sum,58265
59265,Dundgovi sum,59265
